name,price,url
,4190,https://www.divan.ru/product/podvesnoj-svetilnik-sanset-black
,3990,https://www.divan.ru/product/nastolnaya-lampa-mashrum-gold
,14490,https://www.divan.ru/product/torsher-billi-black
,16490,https://www.divan.ru/product/podvesnoj-svetilnik-babl-9
,6190,https://www.divan.ru/product/torsher-babl-1
,6190,https://www.divan.ru/product/podvesnoj-svetilnik-babl-3
,1990,https://www.divan.ru/product/bra-babl-black
,3590,https://www.divan.ru/product/nastolnaya-lampa-dendi-black
,3590,https://www.divan.ru/product/nastolnaya-lampa-dendi-white
,4990,https://www.divan.ru/product/torsher-vario-white
,990,https://www.divan.ru/product/bra-vario-black
,990,https://www.divan.ru/product/bra-vario-white
,4190,https://www.divan.ru/product/podvesnoj-svetilnik-sanset-white
,2690,https://www.divan.ru/product/podvesnoj-svetilnik-kendel-black
,2690,https://www.divan.ru/product/podvesnoj-svetilnik-kendel-white
,9990,https://www.divan.ru/product/torsher-vena-beige
,4990,https://www.divan.ru/product/nastolnaya-lampa-sfera-orange
,15990,https://www.divan.ru/product/torsher-oslo-black
,2590,https://www.divan.ru/product/podvesnoj-svetilnik-kaya-black
,9990,https://www.divan.ru/product/torsher-vena-black
,2590,https://www.divan.ru/product/podvesnoj-svetilnik-kaya-white
,3990,https://www.divan.ru/product/nastolnaya-lampa-grover-glass
,3990,https://www.divan.ru/product/nastolnaya-lampa-sfera-black
,3990,https://www.divan.ru/product/nastolnaya-lampa-mashrum-grey
,990,https://www.divan.ru/product/nastolnaya-lampa-spajk-green
,14590,https://www.divan.ru/product/torsher-klaud-white
,11590,https://www.divan.ru/product/nastolnaya-lampa-klaud-white
,2990,https://www.divan.ru/product/nastolnaya-lampa-rej-black
,3590,https://www.divan.ru/product/torsher-rej-white
,4990,https://www.divan.ru/product/torsher-rej-black
,790,https://www.divan.ru/product/nastolnaya-lampa-spajk-orange
,2590,https://www.divan.ru/product/podvesnoj-svetilnik-portland-black
,3590,https://www.divan.ru/product/nastolnaya-lampa-gross-white
,5990,https://www.divan.ru/product/torsher-mun-black
,13390,https://www.divan.ru/product/torsher-billi-white
,6190,https://www.divan.ru/product/torsher-vario-black
,4990,https://www.divan.ru/product/nastolnaya-lampa-raffi-round
,5990,https://www.divan.ru/product/torsher-gross-white
,9490,https://www.divan.ru/product/torsher-raffi-round
,3390,https://www.divan.ru/product/bra-moderli-alina
,11690,https://www.divan.ru/product/podvesnoj-svetilnik-maro-green
,2590,https://www.divan.ru/product/nastolnaya-lampa-rej-white
